Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2 μF","C_0805_2012Metric",111.000000,-112.200000,180.000000,bottom
"C5","15 pF","C_0402_1005Metric",125.476000,-109.728000,90.000000,bottom
"C6","15 pF","C_0402_1005Metric",133.600000,-109.728000,270.000000,bottom
"C7","100 nF","C_0402_1005Metric",111.400000,-103.600000,90.000000,bottom
"Q1","DMP2165UW","SOT-323_SC-70",106.600000,-107.200000,180.000000,bottom
"R1","10 kΩ","R_0402_1005Metric",107.200000,-103.600000,90.000000,bottom
"R2","10 kΩ","R_0402_1005Metric",115.600000,-103.715000,90.000000,bottom
"R5","4.7 MΩ","C_0402_1005Metric",112.600000,-103.600000,270.000000,bottom
"R6","4.7 MΩ","C_0402_1005Metric",110.200000,-103.600000,90.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",101.300000,-107.500000,-0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",114.300000,-112.200000,-0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",138.800000,-106.000000,-0.000000,bottom
"U1","TPS709A33DBVT","SOT-23-5",106.800000,-111.200000,90.000000,bottom
"U2","TPS709A33DBVT","SOT-23-5",111.000000,-107.842000,90.000000,bottom
"U4","ZXBM5210-S","SOIC-8_3.9x4.9mm_P1.27mm",129.800000,-105.000000,0.000000,bottom
"U5","74HC126PW-Q100","TSSOP-14_4.4x5mm_P0.65mm",119.800000,-108.600000,180.000000,bottom
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",129.540000,-109.800000,180.000000,bottom
