Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2 μF","C_0805_2012Metric",85.500006,-54.099997,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",38.499997,-105.100024,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",38.499997,-122.100033,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",85.500006,-122.100033,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",85.500006,-88.100015,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",38.499997,-71.100006,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",85.500006,-71.100006,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",85.500006,-105.100024,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",38.499997,-54.099997,180.000000,bottom
"C1","2.2 μF","C_0805_2012Metric",38.499997,-88.100015,180.000000,bottom
"C5","15 pF","C_0402_1005Metric",52.225997,-119.228033,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",52.225997,-68.228006,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",52.225997,-102.228024,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",99.226006,-102.228024,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",52.225997,-85.228015,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",99.226006,-68.228006,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",99.226006,-85.228015,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",99.226006,-119.228033,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",99.226006,-51.227997,90.000000,bottom
"C5","15 pF","C_0402_1005Metric",52.225997,-51.227997,90.000000,bottom
"C6","15 pF","C_0402_1005Metric",107.350006,-102.228024,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",60.349997,-119.228033,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",60.349997,-51.227997,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",107.350006,-85.228015,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",60.349997,-68.228006,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",60.349997,-85.228015,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",60.349997,-102.228024,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",107.350006,-51.227997,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",107.350006,-119.228033,270.000000,bottom
"C6","15 pF","C_0402_1005Metric",107.350006,-68.228006,270.000000,bottom
"C7","100 nF","C_0402_1005Metric",36.099997,-62.100006,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",36.099997,-96.100024,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",83.100006,-45.099997,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",83.100006,-96.100024,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",36.099997,-113.100033,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",83.100006,-79.100015,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",83.100006,-113.100033,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",83.100006,-62.100006,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",36.099997,-79.100015,90.000000,bottom
"C7","100 nF","C_0402_1005Metric",36.099997,-45.099997,90.000000,bottom
"C13","100 nF","C_0402_1005Metric",110.150006,-106.800024,0.000000,bottom
"C13","100 nF","C_0402_1005Metric",63.149997,-89.800015,0.000000,bottom
