Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100 nF","C_0402_1005Metric",64.149997,-116.000033,180.000000,top
"C2","100 nF","C_0402_1005Metric",64.149997,-47.999997,180.000000,top
"C2","100 nF","C_0402_1005Metric",111.150006,-65.000006,180.000000,top
"C2","100 nF","C_0402_1005Metric",64.149997,-99.000024,180.000000,top
"C2","100 nF","C_0402_1005Metric",111.150006,-116.000033,180.000000,top
"C2","100 nF","C_0402_1005Metric",111.150006,-99.000024,180.000000,top
"C2","100 nF","C_0402_1005Metric",111.150006,-47.999997,180.000000,top
"C2","100 nF","C_0402_1005Metric",64.149997,-82.000015,180.000000,top
"C2","100 nF","C_0402_1005Metric",111.150006,-82.000015,180.000000,top
"C2","100 nF","C_0402_1005Metric",64.149997,-65.000006,180.000000,top
"C3","100 nF","C_0402_1005Metric",60.399997,-96.300024,270.000000,top
"C3","100 nF","C_0402_1005Metric",107.400006,-45.299997,270.000000,top
"C3","100 nF","C_0402_1005Metric",60.399997,-45.299997,270.000000,top
"C3","100 nF","C_0402_1005Metric",107.400006,-79.300015,270.000000,top
"C3","100 nF","C_0402_1005Metric",107.400006,-113.300033,270.000000,top
"C3","100 nF","C_0402_1005Metric",107.400006,-96.300024,270.000000,top
"C3","100 nF","C_0402_1005Metric",60.399997,-79.300015,270.000000,top
"C3","100 nF","C_0402_1005Metric",107.400006,-62.300006,270.000000,top
"C3","100 nF","C_0402_1005Metric",60.399997,-62.300006,270.000000,top
"C3","100 nF","C_0402_1005Metric",60.399997,-113.300033,270.000000,top
"C4","100 nF","C_0402_1005Metric",101.300006,-96.300024,90.000000,top
"C4","100 nF","C_0402_1005Metric",54.299997,-96.300024,90.000000,top
"C4","100 nF","C_0402_1005Metric",101.300006,-45.299997,90.000000,top
"C4","100 nF","C_0402_1005Metric",101.300006,-62.300006,90.000000,top
"C4","100 nF","C_0402_1005Metric",54.299997,-113.300033,90.000000,top
"C4","100 nF","C_0402_1005Metric",54.299997,-45.299997,90.000000,top
"C4","100 nF","C_0402_1005Metric",101.300006,-79.300015,90.000000,top
"C4","100 nF","C_0402_1005Metric",54.299997,-62.300006,90.000000,top
"C4","100 nF","C_0402_1005Metric",54.299997,-79.300015,90.000000,top
"C4","100 nF","C_0402_1005Metric",101.300006,-113.300033,90.000000,top
"C8","15 pF","C_0402_1005Metric",45.699997,-118.250033,0.000000,top
"C8","15 pF","C_0402_1005Metric",45.699997,-101.250024,0.000000,top
"C8","15 pF","C_0402_1005Metric",92.700006,-101.250024,0.000000,top
"C8","15 pF","C_0402_1005Metric",45.699997,-50.249997,0.000000,top
"C8","15 pF","C_0402_1005Metric",92.700006,-84.250015,0.000000,top
"C8","15 pF","C_0402_1005Metric",92.700006,-50.249997,0.000000,top
"C8","15 pF","C_0402_1005Metric",45.699997,-84.250015,0.000000,top
"C8","15 pF","C_0402_1005Metric",92.700006,-118.250033,0.000000,top
"C8","15 pF","C_0402_1005Metric",92.700006,-67.250006,0.000000,top
"C8","15 pF","C_0402_1005Metric",45.699997,-67.250006,0.000000,top
"C9","15 pF","C_0402_1005Metric",92.700006,-80.350015,0.000000,top
"C9","15 pF","C_0402_1005Metric",45.699997,-97.350024,0.000000,top
"C9","15 pF","C_0402_1005Metric",92.700006,-46.349997,0.000000,top
"C9","15 pF","C_0402_1005Metric",45.699997,-80.350015,0.000000,top
"C9","15 pF","C_0402_1005Metric",92.700006,-97.350024,0.000000,top
"C9","15 pF","C_0402_1005Metric",92.700006,-63.350006,0.000000,top
"C9","15 pF","C_0402_1005Metric",45.699997,-46.349997,0.000000,top
"C9","15 pF","C_0402_1005Metric",45.699997,-63.350006,0.000000,top
"C9","15 pF","C_0402_1005Metric",45.699997,-114.350033,0.000000,top
"C9","15 pF","C_0402_1005Metric",92.700006,-114.350033,0.000000,top
"C10","100 nF","C_0402_1005Metric",86.500006,-101.020024,90.000000,top
"C10","100 nF","C_0402_1005Metric",86.500006,-50.019997,90.000000,top
"C10","100 nF","C_0402_1005Metric",86.500006,-67.020006,90.000000,top
"C10","100 nF","C_0402_1005Metric",39.499997,-67.020006,90.000000,top
"C10","100 nF","C_0402_1005Metric",39.499997,-101.020024,90.000000,top
"C10","100 nF","C_0402_1005Metric",39.499997,-84.020015,90.000000,top
"C10","100 nF","C_0402_1005Metric",39.499997,-50.019997,90.000000,top
"C10","100 nF","C_0402_1005Metric",86.500006,-84.020015,90.000000,top
"C10","100 nF","C_0402_1005Metric",39.499997,-118.020033,90.000000,top
"C10","100 nF","C_0402_1005Metric",86.500006,-118.020033,90.000000,top
"C11","100 nF","C_0402_1005Metric",89.270006,-80.700015,180.000000,top
"C11","100 nF","C_0402_1005Metric",89.270006,-63.700006,180.000000,top
"C11","100 nF","C_0402_1005Metric",42.269997,-46.699997,180.000000,top
"C11","100 nF","C_0402_1005Metric",89.270006,-114.700033,180.000000,top
"C11","100 nF","C_0402_1005Metric",42.269997,-63.700006,180.000000,top
"C11","100 nF","C_0402_1005Metric",42.269997,-114.700033,180.000000,top
"C11","100 nF","C_0402_1005Metric",42.269997,-97.700024,180.000000,top
"C11","100 nF","C_0402_1005Metric",42.269997,-80.700015,180.000000,top
"C11","100 nF","C_0402_1005Metric",89.270006,-97.700024,180.000000,top
"C11","100 nF","C_0402_1005Metric",89.270006,-46.699997,180.000000,top
"C12","100 nF","C_0402_1005Metric",66.249997,-116.000033,0.000000,top
"C12","100 nF","C_0402_1005Metric",66.249997,-47.999997,0.000000,top
"C12","100 nF","C_0402_1005Metric",113.250006,-99.000024,0.000000,top
"C12","100 nF","C_0402_1005Metric",66.249997,-99.000024,0.000000,top
"C12","100 nF","C_0402_1005Metric",113.250006,-47.999997,0.000000,top
"C12","100 nF","C_0402_1005Metric",66.249997,-82.000015,0.000000,top
"C12","100 nF","C_0402_1005Metric",113.250006,-116.000033,0.000000,top
"C12","100 nF","C_0402_1005Metric",66.249997,-65.000006,0.000000,top
"C12","100 nF","C_0402_1005Metric",113.250006,-82.000015,0.000000,top
"C12","100 nF","C_0402_1005Metric",113.250006,-65.000006,0.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-52.249997,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-120.250033,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-103.250024,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-86.250015,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-69.250006,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-69.250006,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-86.250015,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-52.249997,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-120.250033,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-103.250024,180.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-122.930033,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-122.930033,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-88.930015,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-88.930015,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-54.929997,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-105.930024,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-71.930006,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-105.930024,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-54.929997,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-122.930033,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-54.929997,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-88.930015,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-88.930015,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-105.930024,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-122.930033,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-105.930024,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-54.929997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-52.949997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-103.950024,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-120.950033,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-69.950006,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-52.949997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-69.950006,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-86.950015,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-86.950015,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-103.950024,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-120.950033,270.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-84.350015,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-67.350006,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-50.349997,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-84.350015,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-101.350024,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-50.349997,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-118.350033,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-67.350006,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-118.350033,180.000000,top
