Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100 nF","C_0402_1005Metric",132.900000,-103.800000,270.000000,top
"C4","100 nF","C_0402_1005Metric",126.800000,-103.800000,90.000000,top
"C8","15 pF","C_0402_1005Metric",119.000000,-109.600000,0.000000,top
"C9","15 pF","C_0402_1005Metric",119.000000,-105.700000,0.000000,top
"C10","100 nF","C_0402_1005Metric",111.800000,-109.220000,90.000000,top
"C11","100 nF","C_0402_1005Metric",111.800000,-111.400000,270.000000,top
"D1","LED","LED_0603_1608Metric",114.400000,-110.600000,180.000000,top
"D2","LED","LED_0603_1608Metric",115.316000,-113.030000,270.000000,top
"D3","LED","LED_0603_1608Metric",113.538000,-113.030000,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",102.200000,-110.400000,270.000000,top
"R3","10 kΩ","R_0402_1005Metric",123.015000,-108.850000,180.000000,top
"R4","10 kΩ","R_0402_1005Metric",123.015000,-110.150000,0.000000,top
"R7","10 kΩ","R_0402_1005Metric",113.600000,-108.800000,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",117.000000,-110.600000,90.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",111.800000,-113.400000,270.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",115.715000,-108.766000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",132.200000,-105.800000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",105.400000,-107.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",121.100000,-111.200000,0.000000,top
"U3","ATmega328P-MMH","QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm",129.450000,-108.450000,0.000000,top
"U6","MCP7940N-xSN","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",122.550000,-106.600000,0.000000,top
"U7","FT232RQ","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",107.962500,-111.300000,270.000000,top
"Y2"," 32.768 kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm",119.000000,-107.550000,270.000000,top
