Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10 μF","C_0805_2012Metric",115.400000,-113.000000,90.000000,bottom
"C4","15 pF","C_0402_1005Metric",145.815000,-114.100000,180.000000,bottom
"C5","15 pF","C_0402_1005Metric",143.785000,-114.100000,180.000000,bottom
"C7","100 nF","C_0402_1005Metric",136.900000,-110.300000,135.000000,bottom
"C8","1 μF","C_0402_1005Metric",143.400000,-103.400000,135.000000,bottom
"C9","100 nF","C_0402_1005Metric",143.600000,-109.600000,225.000000,bottom
"C17","220 pF","C_0402_1005Metric",147.835000,-100.810000,180.000000,bottom
"R4","100 kΩ","R_0402_1005Metric",121.200000,-105.885000,270.000000,bottom
"R8","10 kΩ","R_0402_1005Metric",161.000000,-110.115000,270.000000,bottom
"R9","3.3 kΩ","R_0402_1005Metric",114.780000,-110.280000,180.000000,bottom
"R12","10 kΩ","R_0402_1005Metric",118.335000,-110.290000,0.000000,bottom
"U1","MAX40203ANS","WLP-4_0.73x0.73mm_Layout2x2_P0.35mm_Ball0.22mm_Pad0.2mm_NSMD",119.000000,-106.400000,270.000000,bottom
"U2","MAX40203ANS","WLP-4_0.73x0.73mm_Layout2x2_P0.35mm_Ball0.22mm_Pad0.2mm_NSMD",115.800000,-106.400000,0.000000,bottom
"U4","ATSAMD21G18A-MUT","QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm",139.913864,-106.624777,135.000000,bottom
"U5","NT3H2111W0FTT","TSSOP-8_3x3mm_P0.65mm",163.600000,-111.600000,90.000000,bottom
"U8","MSQA6V1W5T2G","SOT-353_SC-70-5",160.200000,-113.150000,270.000000,bottom
"Y1","32.768kHz","Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm",144.800000,-112.200000,180.000000,bottom
