Ref,Val,Package,PosX,PosY,Rot,Side
"AT1","AT-MAIN","U.FL_Molex_MCRF_73412-0110_Vertical",161.200000,-107.710000,270.000000,top
"AT2","AT-GNSS","U.FL_Molex_MCRF_73412-0110_Vertical",167.200000,-102.750000,270.000000,top
"C1","100 μF","CP_Elec_5x5.8",116.800000,-108.200000,180.000000,top
"C3","100 nF","C_0402_1005Metric",113.880000,-113.000000,90.000000,top
"C6","100 nF","C_0402_1005Metric",108.915000,-114.200000,0.000000,top
"C10","100 nF","C_0402_1005Metric",138.780000,-109.300000,0.000000,top
"C11","100 nF","C_0402_1005Metric",140.600000,-106.715000,90.000000,top
"C12","100 nF","C_0402_1005Metric",142.450000,-113.800000,180.000000,top
"C13","15 pF","C_0402_1005Metric",144.700000,-113.800000,0.000000,top
"C14","1 μF","C_0402_1005Metric",140.600000,-108.885000,90.000000,top
"C15","100 nF","C_0402_1005Metric",142.450000,-101.170000,0.000000,top
"C16","15 pF","C_0402_1005Metric",144.700000,-100.800000,180.000000,top
"C18","100 nF","C_0402_1005Metric",159.450000,-102.540000,180.000000,top
"C19","1 nF","C_0402_1005Metric",163.435000,-102.750000,180.000000,top
"D2","LED","LED_0603_1608Metric",112.400000,-111.097500,90.000000,top
"D3","LED","LED_0603_1608Metric",110.800000,-111.112500,90.000000,top
"D4","LED","LED_0603_1608Metric",107.600000,-111.112500,90.000000,top
"D5","LED","LED_0603_1608Metric",109.200000,-111.112500,90.000000,top
"J8","Jack-DC","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",105.400000,-104.800000,270.000000,top
"J10","USB_B_Micro","USB_Micro-B_Molex-105133-0001",117.200000,-102.400000,180.000000,top
"L1","9.1 nH","L_0603_1608Metric",161.450000,-103.462500,270.000000,top
"R1","1 kΩ","R_0402_1005Metric",149.965000,-113.750000,0.000000,top
"R2","1 kΩ","R_0402_1005Metric",136.700000,-105.485000,90.000000,top
"R3","39 Ω","R_0402_1005Metric",159.200000,-111.765000,270.000000,top
"R5","39 Ω","R_0402_1005Metric",140.600000,-104.400000,270.000000,top
"R6","39 Ω","R_0402_1005Metric",163.700000,-113.250000,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",111.400000,-114.200000,0.000000,top
"R10","12 MΩ","R_0402_1005Metric",138.800000,-108.100000,0.000000,top
"R11","3.3 MΩ","R_0402_1005Metric",138.800000,-110.500000,180.000000,top
"R13","18 kΩ","R_0402_1005Metric",152.500000,-113.800000,180.000000,top
"R14","3.3 kΩ","R_0402_1005Metric",111.600000,-108.000000,270.000000,top
"R15","3.3 kΩ","R_0402_1005Metric",151.115000,-100.800000,180.000000,top
"R16","3.3 kΩ","R_0402_1005Metric",153.400000,-100.800000,0.000000,top
"R17","10 kΩ","R_0402_1005Metric",147.820000,-113.750000,0.000000,top
"SW1","SPST","SW_Push_SPST_NO_Alps_SKRK",103.800000,-112.200000,0.000000,top
"U3","MCP1700-3302E_SOT23","SOT-23",116.400000,-113.000000,0.000000,top
